# CUI ; Name ; SemanticTypes
C0013456 ; Earache ; sosy
C0848397 ; Throat culture ; lbpr
C0232894 ; Pneumatouria ; sosy
C0575090 ; Equilibration disorder ; sosy
C1384593 ; Digital palpation of rectum ; diap
C0239833 ; Hand pain ; sosy
C0547000 ; Locking of joint ; fndg
C0277964 ; Subcutaneous crepitus ; patf
C0036983 ; Septic shock ; patf
C0038536 ; Subcutaneous emphysema ; patf
C0015469 ; Facial nerve palsy ; dsyn
C0005747 ; Blepharospasm ; dsyn
C0042164 ; Uveitis ; dsyn
C0026205 ; Persistent miosis ; dsyn
C0015402 ; Hemophthalmos ; patf
C0850149 ; Dry cough ; sosy
C1827170 ; Edema of extremity ; fndg
C0025958 ; Microcephaly ; cgab,dsyn
C0521525 ; Short neck ; fndg
C0271053 ; Cotton wool spots ; fndg
C0000786 ; Spontaneous abortion ; patf
C0022408 ; Arthropathy ; dsyn
C0234656 ; Pain around eye ; sosy
C0085682 ; Hypophosphatemia ; patf
C0234518 ; Slurred speech ; fndg
C0041909 ; Upper gastrointestinal hemorrhage ; patf
C0020490 ; Hyperopia ; dsyn
C0152025 ; Polyneuropathy ; dsyn
C0014877 ; Esotropia ; dsyn
C0040485 ; Torticollis ; sosy
C0042798 ; Low vision, NOS ; dsyn
C0026826 ; Muscle hypertonia ; fndg
C0150988 ; Sclerodactyly ; dsyn
C0034734 ; Raynaud disease ; dsyn
C0242528 ; Azotemia ; dsyn
C0151701 ; Pulmonary hemorrhage ; patf
C0010201 ; Chronic cough ; sosy
C0018944 ; Hematoma ; patf
C0282193 ; Iron overload ; dsyn
C0233523 ; Antisocial behavior ; mobd
C0233497 ; Insecurity ; menp
C0020039 ; Hostility ; menp
C0457093 ; Thick sputum ; fndg
C0332461 ; Patch ; fndg
C0002962 ; Angina pectoris NOS ; fndg
C0037316 ; Sleep deprivation ; fndg
C0162701 ; Polysomnography ; diap
C0035258 ; Restless legs syndrome ; dsyn
C0002622 ; Amnesia ; mobd
C0150866 ; Biopsy of skin ; diap
C0029090 ; Ophthalmoscopy ; diap
C0040420 ; Tonometry ; diap
C0029442 ; Osteomalacia ; dsyn
C0588008 ; Severe depression ; mobd
C0231749 ; Knee pain ; sosy
C0036454 ; Scotoma ; fndg
C1720771 ; Hydrocoele ; cgab,dsyn
C0267071 ; Oropharyngeal dysphagia ; dsyn
C0699815 ; Feeding difficulties and mismanagement ; fndg
C0004106 ; Astigmatism ; dsyn
C0020505 ; Hyperphagia ; fndg
C0231246 ; Failure to gain weight ; fndg
C0018784 ; Sensorineural deafness ; dsyn
C0018801 ; Heart failure ; dsyn
C0277910 ; Ejection murmur ; fndg
C0233571 ; Excitement ; menp
C0033074 ; Presbycusis ; patf
C0016512 ; Foot pain ; sosy
C2242996 ; Has tingling sensation ; sosy
C0013867 ; Electroretinography ; diap
C0015523 ; Factor XI deficiency ; dsyn
C0029163 ; Oral hemorrhage ; fndg
C0015970 ; Fever of unknown origin ; sosy
C0023530 ; Leukopenia ; dsyn
C0151766 ; Abnormal results of liver function studies ; fndg
C0521172 ; Eschar ; patf
C0028077 ; Night blindness NOS ; dsyn
C0423178 ; Bitot's spots ; sosy
C0043349 ; Xerophthalmia ; dsyn
C0033931 ; Psychophysiologic disorder, NOS ; mobd
C0019880 ; Homocystinuria ; dsyn
C0036313 ; Schilling test ; diap
C0017565 ; Gingival hemorrhage ; fndg
C0017672 ; Glossalgia ; sosy
C0423798 ; Increased tendency to bruise ; fndg
C0232262 ; Diastolic murmur, NOS ; sosy
C0030794 ; Pelvic pain, NOS ; sosy
C0740418 ; Chronic back pain ; sosy
C0000727 ; Acute abdomen ; sosy
C0019214 ; Hepatosplenomegaly ; sosy
C1579838 ; Sore mouth ; sosy
C2364135 ; Discomfort, NOS ; sosy
C0015310 ; Exotropia ; dsyn
C0234920 ; Papulovesicular rash ; fndg
C2129214 ; Loose stool ; sosy
C0004943 ; Behcet's syndrome ; dsyn
C0277927 ; Musset's sign ; sosy
C0085619 ; Orthopnea ; sosy
C0011854 ; Insulin-dependent diabetes mellitus ; dsyn
C0162835 ; Hypopigmentation disorder ; dsyn
C0014457 ; Eosinophilia ; dsyn
C0016263 ; Flow cytometry ; lbpr
C0016199 ; Flank pain ; sosy
C0241136 ; Pain of skin ; sosy
C0497247 ; Elevated blood pressure ; fndg
C0700590 ; Increased sweating ; sosy
C0035508 ; Rhonchi ; fndg
C0017741 ; Glucose tolerance test ; lbpr
C0014745 ; Palmar erythema ; fndg
C0031046 ; Pericarditis ; dsyn
C0085666 ; Spider nevus ; fndg
C0232766 ; Asterixis ; sosy
C0013384 ; Dyskinesia ; dsyn
C0017145 ; Gastric varix ; acab,dsyn
C0019151 ; Hepatic encephalopathy ; dsyn
C0002627 ; Amniocentesis ; diap
C0278080 ; Physical addiction ; mobd
C0154575 ; Rumination disorder ; mobd
C0027769 ; Nervousness ; sosy
C0700031 ; Anxiety attack ; mobd
C0236792 ; Asperger's syndrome ; mobd
C0018213 ; Graves disease ; dsyn
C0424551 ; Impaired exercise tolerance ; fndg
C0278110 ; Crossed hemiplegia ; dsyn
C0009269 ; Cold intolerance ; sosy
C0281856 ; Generalized aches and pains ; sosy
C0002994 ; Angioedema ; patf
C0027145 ; Myxedema ; dsyn
C0013132 ; Drooling ; sosy
C0026635 ; Mouth breathing ; fndg
C0037036 ; Sialorrhea ; dsyn
C0221237 ; Angular cheilitis ; dsyn
C0080274 ; Urinary retention ; fndg
C0312413 ; Overflow incontinence of urine ; fndg
C0042024 ; Urinary incontinence ; patf
C0038271 ; Stereotyped behavior ; mobd
C0015468 ; Facial pain, NOS ; sosy
C0018862 ; Heberden's node ; fndg
C0263780 ; Bouchard's node ; dsyn
C0031256 ; Petechiae ; dsyn
C0405352 ; Biopsy of breast ; diap
C0024902 ; Mastodynia ; sosy
C0003904 ; Arthroscopy ; diap
C0149756 ; Plantar fasciitis ; dsyn
C0007766 ; Intracranial aneurysm ; dsyn
C0542518 ; Enlarged kidney ; fndg
C0155078 ; Photokeratitis ; dsyn
C0042345 ; Varicosities ; dsyn
C0235068 ; Scintillating scotoma ; sosy
C0266543 ; Persistent tunica vasculosa lentis ; cgab
C0243032 ; Magnetic resonance angiography ; diap
C2243051 ; Large head (disorder) ; fndg
C0017979 ; Glycosuria ; fndg
C0006318 ; Bruit ; fndg
C1532085 ; Hamman's sign ; fndg
C0232118 ; Pulsus paradoxus ; fndg
C0011548 ; Dependent personality disorder ; mobd
C0011551 ; Depersonalization ; mobd
C0028081 ; Night sweats ; sosy
C0022568 ; Keratitis ; dsyn
C0025287 ; Meningism ; sosy
C0234179 ; Brudzinski's sign ; sosy
C1320474 ; Nuchal rigidity ; sosy
C1442877 ; Sore skin ; sosy
C0016579 ; Formication ; fndg
C0037299 ; Skin ulcer ; dsyn
C0034155 ; Thrombotic thrombocytopenic purpura ; dsyn
C0040053 ; Thrombosis ; patf
C0009961 ; Coombs test ; lbpr
C0026766 ; Multiple organ failure ; patf
C0040034 ; Thrombocytopenia ; fndg
C0392676 ; Hyperpyrexia ; patf
C0232462 ; Decrease in appetite ; sosy
C0034013 ; Precocious puberty ; dsyn
C0019572 ; Hirsutism ; fndg
C0028949 ; Oligomenorrhea ; patf
C0156394 ; Hypertrophy of clitoris ; dsyn
C2584688 ; Swelling of testicle (finding) ; fndg
C0034888 ; Rectal prolapse NOS ; dsyn
C0031150 ; Laparoscopy ; diap
C0000731 ; Abdomen distended ; fndg
C0001707 ; Aerophagy ; mobd
C0231686 ; Unsteady gait ; fndg
C0008033 ; Pleuritic pain ; sosy
C0030987 ; Percussion ; diap
C0235299 ; Right upper quadrant pain ; sosy
C0018794 ; Block - heart ; dsyn
C0151636 ; Ventricular premature contractions ; patf
C0024282 ; Lymphocytosis ; dsyn
C0750426 ; Leukocytosis ; fndg
C0025990 ; Micrognathism ; cgab
C0005954 ; Bone marrow biopsy ; diap
C0221245 ; Fissure in skin ; fndg
C0038868 ; Progressive supranuclear palsy ; dsyn
C0518085 ; Difficulty eating ; fndg
C0451306 ; Mini-mental state examination ; diap
C0027902 ; Neuropsychological testing ; diap
C1510471 ; Vitamin deficiency ; dsyn
C0003113 ; Anomia ; mobd
C0024050 ; Lower gastrointestinal hemorrhage ; patf
C0041912 ; Upper respiratory infection NOS ; dsyn
C0392550 ; Infantile hemiplegia NOS ; dsyn
C0034372 ; Quadriplegia ; dsyn
C0014873 ; Esophagoscopy ; diap
C0221150 ; Swallowing painful ; sosy
C0242429 ; Sore throat NOS ; sosy
C0518179 ; Change in voice (finding) ; sosy
C0007859 ; Neck pain NOS ; sosy
C0235351 ; Ulcer on tongue ; dsyn
C0425687 ; Jugular venous engorgement ; fndg
C0428897 ; Jugular venous pressure ; fndg
C0237313 ; Pulse deficit ; fndg
C3662068 ; Static encephalopathy ; dsyn
C0038580 ; Substance dependence ; mobd
C0563243 ; Poor coordination ; fndg
C0277794 ; Extreme exhaustion ; sosy
C0235592 ; Cervical lymphadenopathy ; patf
C0221217 ; Neck webbing ; cgab
C0338502 ; Hypoplasia of the optic nerve ; cgab
C0424230 ; Motor retardation ; fndg
C0036396 ; Sciatica ; sosy
C0026995 ; Myelography ; diap
C0037928 ; Disease of spinal cord ; dsyn
C0278148 ; Throbbing pain ; sosy
C0549622 ; Sexual dysfunction, NOS ; dsyn
C0221232 ; Welt ; sosy
C0000734 ; Abdominal mass ; fndg
C0038450 ; Stridor ; sosy
C0232498 ; Abdominal tenderness ; sosy
C0008513 ; Chorioretinitis ; dsyn
C0038833 ; Superior vena cava syndrome ; dsyn
C0020458 ; Hyperhidrosis ; fndg
C0029411 ; Primary hypertrophic osteoarthropathy ; dsyn
C0033103 ; Pretibial myxedema ; dsyn
C0020473 ; Hyperlipidemia ; dsyn
C0002880 ; Autoimmune hemolytic anemia ; dsyn
C0027697 ; Nephritis ; dsyn
C2939465 ; Deficiency of glucose-6-phosphate dehydrogenase ; dsyn
C0019048 ; Hemoglobinuria ; dsyn
C0027080 ; Myoglobinuria ; fndg
C0412564 ; Fetal echocardiography ; diap
C0018800 ; Cardiomegaly ; fndg
C0151517 ; Complete atrioventricular block ; dsyn
C0152419 ; Interrupted aortic arch ; cgab,dsyn
C0576456 ; Feeding poor ; fndg
C0041207 ; Persistent truncus arteriosus ; cgab
C0201405 ; Rapid plasma reagin test ; lbpr
C0085108 ; Fluorescent treponemal antibody absorption test ; lbpr
C0600049 ; Chancre ; patf
C0033771 ; Prurigo ; dsyn
C0234668 ; Argyll-Robertson pupil (finding) ; fndg
C0234964 ; Poor balance (finding) ; fndg
C0451641 ; Urolithiasis ; dsyn
C0014742 ; Multiforme - erythema ; dsyn
C0458247 ; Allodynia ; fndg
C0020429 ; Hyperalgesia ; sosy
C0024985 ; McGill pain questionnaire ; diap
C0013609 ; Localized edema ; sosy
C0240094 ; Joint tenderness ; sosy
C0003028 ; Anhidrosis ; dsyn
C0271561 ; Somatotropin deficiency ; dsyn
C0392162 ; Clammy skin ; fndg
C0234425 ; Level of consciousness ; fndg
C0240327 ; Metallic taste ; sosy
C0010495 ; Cutis laxa, NOS ; dsyn
C0002965 ; Unstable angina ; dsyn
C0522051 ; Acute chest pain ; sosy
C0948089 ; Acute coronary syndrome ; dsyn
C0000889 ; Acanthosis nigricans ; dsyn
C0015695 ; Fatty liver ; dsyn
C0428339 ; Aspartate transaminase level ; lbtr
C0203108 ; Intravenous pyelogram ; diap
C0203110 ; Retrograde pyelogram ; diap
C0041952 ; Ureterolithiasis ; dsyn
C0430404 ; Urine for culture ; lbpr
C0005697 ; Neurogenic bladder ; dsyn
C0020438 ; Hypercalciuria ; dsyn
C0085606 ; Urgency of micturition ; dsyn
C0152169 ; Renal colic ; sosy
C0200382 ; Lipid panel ; lbpr
C0038238 ; Steatorrhea ; fndg
C0151718 ; Hypocholesterolemia ; patf
C0042875 ; Vitamin E deficiency ; dsyn
C0520966 ; Abnormal coordination ; sosy
C0027125 ; Myotonia ; fndg
C0544755 ; Bandy legged ; fndg
C0003706 ; Arachnodactyly ; cgab
C0158731 ; Congenital pectus carinatum ; cgab
C0427068 ; Monoparesis - leg ; fndg
C0588006 ; Mild depression ; mobd
C0231451 ; Hyperextension ; sosy
C0231441 ; Immobile ; fndg
C0278145 ; Stabbing pain ; sosy
C0016167 ; Anal fissure ; dsyn
C0267596 ; Rectal hemorrhage ; patf
C0015732 ; Fecal incontinence ; dsyn
C0015403 ; Eye infection ; dsyn
C0020555 ; Hypertrichosis ; dsyn
C0278234 ; Cherry red spot ; sosy
C0560024 ; Swelling of eyelid ; sosy
C0702166 ; Acne ; dsyn
C0003885 ; Arthrogram ; diap
C0040425 ; Tonsillitis ; dsyn
C2830004 ; Somnolence ; fndg
C0549123 ; Large tonsils (finding) ; fndg
C0042454 ; Velopharyngeal insufficiency ; dsyn
C0028734 ; Nocturia ; dsyn
C0043037 ; Common wart ; dsyn
C0020488 ; Hypernatremia ; dsyn
C0520675 ; Minor depressive disorder ; mobd
C0554978 ; Racing thoughts ; mobd
C0015306 ; Multiple hereditary exostoses ; cgab,dsyn
C1444565 ; Cardiorespiratory failure ; patf
C0423773 ; Scaly skin ; sosy
C0151611 ; Electroencephalogram abnormal ; fndg
C0032310 ; Viral pneumonia NOS ; dsyn
C0042940 ; Disorder of voice ; dsyn
C0017650 ; Globus hystericus ; mobd
C0424320 ; Teasing ; fndg
C0031542 ; Phlebitis ; dsyn
C3662017 ; Combativeness ; fndg
C0001818 ; Agoraphobia ; mobd
C0029878 ; Otitis externa NOS ; dsyn
C0040259 ; Tinea pedis ; dsyn
C0006840 ; Candidiasis ; dsyn
C0017675 ; Glossitis ; dsyn
C0018793 ; Auscultation of heart ; diap
C0237314 ; Irregular heart beat ; fndg
C0037317 ; Disturbance in sleep behavior ; sosy
C0001957 ; Alcohol withdrawal delirium ; dsyn
C0233767 ; Tactile hallucinations ; sosy
C0178417 ; Anhedonia ; mobd
C0576702 ; Barber's chair sign ; fndg
C0006266 ; Bronchial spasm ; dsyn
C0241981 ; Impairment of balance ; fndg
C0203378 ; Three dimensional echocardiography ; diap
C0232257 ; Systolic murmur, NOS ; fndg
C0042293 ; Valsalva maneuver ; diap
C0016356 ; Fluoroscopy ; diap
C0203126 ; Cystography ; diap
C0021313 ; Infection of kidney ; dsyn
C0200045 ; Manual pelvic examination (procedure) ; diap
C0020709 ; Hysterosalpingogram ; diap
C0020710 ; Hysteroscopy ; diap
C0085650 ; Purpura fulminans ; dsyn
C0034150 ; Purpura ; dsyn
C0085642 ; Livedo reticularis, NOS ; dsyn
C0700292 ; Hypoxemia ; fndg
C0017086 ; Gangrene ; dsyn
C0017658 ; Glomerulonephritis ; dsyn
C0750394 ; Leukopenia ; fndg
C0013526 ; Echoencephalography ; diap
C0149707 ; Hemospermia ; fndg
C0221182 ; Chordee ; cgab,dsyn
C0231780 ; Heel pain ; sosy
C0158322 ; Calcaneal spur ; dsyn
C0430701 ; Esophageal pH monitoring ; diap
C0025065 ; Mediastinoscopy ; diap
C0376443 ; Endoscopic ultrasonography ; diap
C0014743 ; Nodosum - erythema ; dsyn
C0423791 ; Maculopapular eruption ; fndg
C0027709 ; Nephrocalcinosis ; dsyn
C1282952 ; Enthesitis ; dsyn
C0239161 ; Dactylitis ; dsyn
C0027796 ; Neuralgia ; sosy
C0023186 ; Learning disorder ; mobd
C0037981 ; Spirometry ; diap
C0264172 ; Barrel chest ; fndg
C0239134 ; Productive cough ; sosy
C0232292 ; Chest tightness ; sosy
C0581394 ; Swollen legs ; sosy
C0149871 ; Deep vein thrombosis ; dsyn
C0039103 ; Synovitis ; dsyn
C0085652 ; Pyoderma gangrenosum ; dsyn
C0025290 ; Aseptic meningitis ; dsyn
C0035357 ; Retroperitoneal fibrosis ; patf
C0200048 ; Vaginal examination ; diap
C0034012 ; Delayed puberty NOS ; patf
C0476241 ; Delayed developmental milestone ; fndg
C0006009 ; Borderline mental retardation (I.Q. 70-85) ; mobd
C0264614 ; Hypernasality ; dsyn
C0546884 ; Hypovolemia ; fndg
C0342579 ; Electrolyte imbalance ; patf
C2315245 ; Agonal respiration ; fndg
C0425442 ; Respiratory system finding ; fndg
C0339916 ; Viral upper respiratory tract infection ; dsyn
C0027424 ; Nasal congestion (finding) ; sosy
C0403673 ; Retrograde ejaculation ; patf
C0193842 ; Biopsy of lymph node ; diap
C0024219 ; Lymphangiography ; diap
C0233485 ; Apprehension ; fndg
C0476206 ; Giddiness ; sosy
C0263534 ; Beau's lines ; sosy
C0150993 ; Pitting of nails ; fndg
C0021775 ; Intermittent claudication ; dsyn
C0333128 ; Open comedone ; dsyn
C0040130 ; Thyroid function tests ; lbpr
C0001816 ; Agnosia ; mobd
C0234488 ; Paraphasia ; fndg
C0233472 ; Labile affect ; mobd
C0006444 ; Bursitis ; dsyn
C0149744 ; Oral lesion ; fndg
C0004031 ; Allergic bronchopulmonary aspergillosis ; dsyn
C0263538 ; Clubbing of nail ; sosy
C0033790 ; Pseudobulbar palsy ; dsyn
C0442865 ; Lower motor neurone lesion ; patf
C0030436 ; Parakeratosis ; dsyn
C1384606 ; Dyspareunia ; fndg
C0149745 ; Oral ulcer ; dsyn
C0006849 ; Oral candidiasis ; dsyn
C0235063 ; Respiratory depression ; patf
C0151907 ; Discoloration of skin ; patf
C0263401 ; Cutis marmorata ; dsyn
C0221263 ; Cafe au lait spots ; fndg
C0544791 ; Inflammatory fistula ; patf
C0231341 ; Premature aging syndrome ; dsyn
C0519186 ; Multiple sleep latency test ; diap
C0393760 ; Initial insomnia ; mobd
C0033246 ; Proctitis ; dsyn
C0581362 ; Anorectal pain ; sosy
C0034886 ; Rectal pain ; sosy
C0221780 ; Rectal discharge ; fndg
C0232726 ; Rectal tenesmus ; sosy
C0344439 ; Hydrogen breath test ; diap
C0221356 ; Brachycephaly ; cgab,dsyn
C0029134 ; ON - Optic neuritis ; dsyn
C0027804 ; Neurasthenia ; mobd
C3665386 ; Abnormal vision ; fndg
C0042025 ; Urinary stress incontinence ; dsyn
C0150045 ; Urge incontinence ; fndg
C0869256 ; Mixed urinary incontinence ; sosy
C0152245 ; Extravasation of urine ; patf
C0149671 ; Dribbling of urine ; fndg
C0150042 ; Functional urinary incontinence ; dsyn
C0028961 ; Oliguria ; dsyn
C0020461 ; Hyperkalemia ; fndg
C0085681 ; Hyperphosphatemia (disorder) ; dsyn
C2363736 ; Unintentional weight loss ; fndg
C0454596 ; Spastic dysarthria ; fndg
C0009663 ; Condylomata acuminata ; dsyn
C0271650 ; Impaired glucose tolerance ; dsyn
C1272092 ; Impaired fasting glycaemia ; fndg
C0221106 ; Alkalemia ; dsyn
C0159059 ; Visible peristalsis ; fndg
C0221151 ; Projectile vomiting ; sosy
C0347950 ; Asthma attack ; dsyn
C0080264 ; Ultrasonography of breast ; diap
C0151994 ; Enlarged uterus ; fndg
C0278008 ; Altered bowel function ; sosy
C0039591 ; Pain in testicle ; sosy
C0751559 ; Pulsatile tinnitus ; sosy
C0020626 ; Hypoparathyroidism ; dsyn
C0029405 ; Osteitis fibrosa cystica ; dsyn
C1721048 ; Capsule endoscopy ; diap
C0240066 ; Iron deficiency ; dsyn
C0017677 ; Benign migratory glossitis ; dsyn
C0038362 ; Stomatitis ; dsyn
C0267000 ; Pyostomatitis vegetans ; dsyn
C0392185 ; Verbal repetition ; fndg
C0264588 ; Spastic dysphonia ; fndg
C0546959 ; Atrial tachycardia ; patf
C0234533 ; Generalised seizure ; dsyn
C0270844 ; Tonic seizures ; sosy
C0038220 ; Status epilepticus ; dsyn
C0151632 ; ESR raised ; fndg
C0277959 ; Coarse hair ; fndg
C0430179 ; Sweat test ; lbpr
C0001122 ; Acidosis ; patf
C0038187 ; Starvation ; fndg
C0220982 ; Ketoacidosis ; patf
C0018926 ; Hematemesis ; sosy
C0024236 ; Lymphedema ; dsyn
C0412375 ; Radioisotope scan of lymphatic system ; diap
C0333245 ; Massive edema ; sosy
C0574002 ; Edema of foot (finding) ; sosy
C0024225 ; Lymphangitis ; dsyn
C0751336 ; Distal muscular dystrophy ; dsyn
C0234182 ; Gowers sign ; fndg
C0362046 ; Prediabetes ; dsyn
C0009952 ; Febrile convulsions ; dsyn
C0553692 ; Brain hemorrhage ; dsyn
C0751495 ; Focal seizure ; sosy
C0231474 ; Decerebrate posture ; fndg
C0004377 ; Automatism ; fndg
C0234535 ; Clonic seizure ; dsyn
C0015930 ; Fetal distress NOS ; dsyn
C0410538 ; Pseudoachondroplasia ; cgab,dsyn
C0235272 ; Retinal damage ; dsyn
C0078918 ; Oculocutaneous albinism ; cgab
C0009417 ; Colposcopy ; diap
C0079104 ; Pap smear ; diap
C0235025 ; Peripheral motor neuropathy ; dsyn
C0751837 ; Ataxic gait ; sosy
C0199551 ; Cardiac electrophysiologic stimulation and recording study ; diap
C0023218 ; Leg cramps ; sosy
C0014740 ; Erythema chronicum migrans ; dsyn
C0332601 ; Cushingoid facies ; sosy
C0040412 ; Fissured tongue ; dsyn
C0333376 ; Munro microabscess ; patf
C0221264 ; Cheilosis ; dsyn
C0936215 ; Vitamin B6 deficiency ; dsyn
C0241262 ; Strawberry tongue ; dsyn
C0006430 ; Burning mouth syndrome ; dsyn
C0236068 ; Tongue swelling ; patf
C0004286 ; Audiometry ; diap
C0039503 ; Tendinitis ; dsyn
C0587246 ; Muscle weakness of limb ; fndg
C0677499 ; Radial tunnel syndrome ; dsyn
C0235573 ; Hemoglobinemia ; dsyn
C0278076 ; Behavioral tic ; mobd
C0221261 ; Koilonychia ; sosy
C0038862 ; Suppurative inflammation ; patf
C0751466 ; Phonophobia ; mobd
C0240821 ; Pseudomembrane ; patf
C0278155 ; Taste-blindness ; sosy
C0458224 ; Piriformis syndrome ; dsyn
C0085649 ; Peripheral edema ; fndg
C0426587 ; Altered appetite ; fndg
C0042514 ; Ventricular tachycardia, NOS ; dsyn
C0030196 ; Pain in limb ; sosy
C1706559 ; Cornea verticillata ; dsyn
C0009024 ; Clonus ; sosy
C0242644 ; Brown-Sequard syndrome ; dsyn
C0085620 ; Flaccid paralysis ; sosy
C0701824 ; Staggering gait ; sosy
C0086981 ; Sicca syndrome ; dsyn
C0241633 ; Vaginal dryness ; fndg
C0555971 ; Oral infection ; dsyn
C1527344 ; Dysphonia ; fndg
C0016689 ; Freckles ; fndg
C0234376 ; Action tremor ; sosy
C0033036 ; Atrial premature complex ; fndg
C0040156 ; Thyrotoxicosis ; dsyn
C0039239 ; Sinus tachycardia ; dsyn
C1704431 ; Disorder of electrolytes ; patf
C0455973 ; Retinoscopy ; diap
C0003076 ; Aniridia ; cgab
C0201406 ; VDRL test ; lbpr
C0027430 ; Nasal polyp NOS ; dsyn
C0423572 ; Pins and needles ; sosy
C0232359 ; Increased capillary filling time ; fndg
C0522225 ; Normal reflex ; fndg
C0242584 ; Autoimmune thrombocytopenia ; dsyn
C0281982 ; Swelling of skin ; fndg
C0003079 ; Anisocoria ; fndg
C0398353 ; Hypercapnic respiratory failure ; patf
C3203358 ; Hypoventilation ; patf
C0020620 ; Hypohidrosis ; dsyn
C0020678 ; Hypotrichosis ; cgab
C0333628 ; Xanthosis ; patf
C0007815 ; Cerebrospinal fluid rhinorrhea ; dsyn
C0014306 ; Enophthalmos ; dsyn
C0030486 ; Paraplegia ; dsyn
C0003813 ; Sinus arrhythmia ; fndg
C0085610 ; Sinus bradycardia ; patf
C3853525 ; Fourth heart sound, S4 ; fndg
C0041105 ; Trismus ; dsyn
C0236000 ; Jaw pain ; sosy
C0600028 ; Loose tooth ; fndg
C0559470 ; Allergy to peanuts ; dsyn
C0740577 ; Acute abdominal pain ; sosy
C0236040 ; Pain in calf ; sosy
C0043159 ; Whole blood coagulation time ; lbpr
C0235632 ; Loin pain ; sosy
C1527405 ; Erythrocytosis ; fndg
C0203065 ; Barium swallow ; diap
C0200555 ; Direct Coombs test ; lbpr
C0008509 ; Sampling of chorionic villus ; diap
C0162297 ; Respiratory arrest ; patf
C0025323 ; Menorrhagia ; patf
C0079581 ; Hypochlorhydria ; patf
C0018935 ; Hematocrit ; lbpr
C0221278 ; Anisocytosis ; fndg
C0221281 ; Poikilocytosis ; fndg
C0271708 ; Fasting hypoglycemia ; dsyn
C0040460 ; Toothache ; sosy
C0234250 ; Referred pain ; sosy
C0751257 ; Central auditory processing disorder ; dsyn
C0221776 ; Oral pain ; sosy
C0235050 ; Tingling of skin ; sosy
C2225524 ; Macromastia ; fndg
C0155626 ; Acute myocardial infarction ; dsyn
C0240608 ; Osler's node ; sosy
C1963946 ; Laryngeal dystonia ; dsyn
C0232696 ; Bowel sounds absent ; fndg
C0344375 ; Stomach cramps (finding) ; sosy
C0199230 ; Screening for cancer ; diap
C0578736 ; Inguinal lymphadenopathy ; dsyn
C0236078 ; Pain in scrotum ; sosy
C0152447 ; Urethral discharge ; sosy
C2697368 ; Gastrointestinal irritation ; dsyn
C0159039 ; Spontaneous bruising ; patf
C0220870 ; Lightheadedness ; sosy
C0427195 ; Muscle tension ; fndg
C0010038 ; Corneal opacity, NOS ; fndg
C0010034 ; Disorder of cornea ; dsyn
C0022081 ; Iritis ; dsyn
C0430888 ; Intraocular pressure test ; diap
C0021361 ; Female infertility ; patf
C0423729 ; Chest pain on breathing ; sosy
C0424790 ; Rigor ; sosy
C0234253 ; Rest pain ; sosy
C0005911 ; Weight change ; fndg
C0013390 ; Dysmenorrhea ; patf
C0020453 ; Hyperesthesia ; sosy
C0032768 ; Postherpetic neuralgia ; dsyn
C0006778 ; Caloric test ; diap
C0013854 ; Electro-oculogram examination ; diap
C0155502 ; Benign paroxysmal positional vertigo ; dsyn
C2004489 ; Regurgitation ; sosy
C0008310 ; Endoscopic retrograde cholangiopancreatography ; diap
C0994163 ; Magnetic resonance cholangiopancreatography ; diap
C3203356 ; Factor II deficiency ; dsyn
C0232721 ; Bulky stool ; sosy
C0424296 ; Social disinhibition ; mobd
C0007398 ; Catatonia ; mobd
C0151315 ; Neck stiffness ; sosy
C0262397 ; Breast tenderness ; sosy
C0151746 ; Abnormal renal function ; patf
C0034575 ; Dental radiography ; diap
C0154694 ; Spastic hemiplegia ; dsyn
C0426970 ; Spastic quadriplegia ; dsyn
C0476287 ; Breath holding spell ; sosy
C0270328 ; Diurnal enuresis ; dsyn
C0151989 ; Abnormal urination ; sosy
C0426377 ; Infrequent urination ; fndg
C0878773 ; Overactive bladder ; dsyn
C0412103 ; Barium meal ; diap
C0239233 ; Early satiety ; sosy
C0241353 ; Testicular mass ; fndg
C0199900 ; Rectal examination ; diap
C0037011 ; Shoulder pain ; sosy
C0152093 ; Hypermobility syndrome ; dsyn
C0424091 ; Loss of interest ; fndg
C0020683 ; Hypovolemic shock ; patf
C0232799 ; Grey Turner's sign ; fndg
C0600228 ; Cardiopulmonary arrest ; patf
C0034108 ; Pulse oximetry ; diap
C1257843 ; Pseudomembranous colitis ; dsyn
C0424323 ; Physical aggression ; fndg
C0742343 ; Acute chest syndrome ; dsyn
C0014089 ; Functional encopresis ; mobd
C0231837 ; Slow respiration ; fndg
C0039621 ; Tetany ; dsyn
C0430432 ; Widal test ; lbpr
C0149514 ; Acute bronchitis ; dsyn
C0302180 ; Condyloma ; dsyn
C0476427 ; Abnormal cervical smear ; fndg
C1319072 ; Anal pap smear ; diap
C1403891 ; Meningococcal Waterhouse-Friderichsen syndrome ; dsyn
C0152457 ; Kayser-Fleischer ring ; dsyn
C0036416 ; Scleritis ; dsyn
C0237326 ; Dyschezia ; sosy
C0221166 ; Paraparesis ; sosy
C0578687 ; Sore eye ; sosy
C0265974 ; Birthmark ; cgab
C0700185 ; Decalcification ; patf
C0017572 ; Gingival recession NOS ; dsyn
C3887499 ; Cyst - kidney ; dsyn
C0455990 ; Immune hydrops fetalis ; dsyn
C0262977 ; Achromia of skin ; sosy
